date,open,close,high,low,volume,money
2011/6/17,4392.98,4337.37,4415.16,4332.49,2282689700,25191626303
2011/6/20,4325.6,4278.75,4333.57,4251.11,2158850500,23481559124
2011/6/21,4286.36,4338.42,4338.85,4269.92,2444865700,26823923809
2011/6/22,4341.36,4321.22,4350.92,4300.64,2228087900,24496084382
2011/6/23,4307.81,4402.94,4411.86,4276.73,2927737600,33040753820
2011/6/24,4390.09,4509.18,4533.7,4381.8,4592928400,53141867590
2011/6/27,4511.76,4568.19,4578.32,4510.72,3916460400,47102993276
2011/6/28,4569.76,4574.48,4582.62,4529.18,3231001100,40115208713
2011/6/29,4570.84,4511.55,4583.49,4511.28,3396370200,41337680569
2011/6/30,4506.75,4579.33,4585.26,4506.74,3273795000,39545274858
2011/7/1,4589.18,4604.75,4635.25,4582.33,3882020200,44850873979
2011/7/4,4617.95,4719.39,4719.57,4617.95,5031479400,59892749363
2011/7/5,4722.33,4749.42,4758.07,4711.17,4606850900,56956112520
2011/7/6,4742.17,4760.92,4763.24,4705.39,4330434000,54362840502
2011/7/7,4757.07,4761.45,4813.34,4742.37,4850315800,61550736344
2011/7/8,4755.75,4756.61,4769.55,4720.23,3641059700,46150254239
2011/7/11,4741.98,4799.42,4802.44,4728.49,3725219400,47482947146
2011/7/12,4762.09,4731.12,4771.59,4727.67,4142080400,51231813529
2011/7/13,4729.2,4825.42,4825.5,4729.2,4023526700,52157709585
2011/7/14,4833.75,4866.16,4866.24,4813.49,4613078200,59868156607
2011/7/15,4853.76,4896.04,4896.1,4842.78,4781930400,60113467942
2011/7/18,4902.22,4895.26,4919.14,4876.48,4843666600,61013028718
2011/7/19,4871.68,4843.7,4871.93,4822.45,4150607400,52479127858
2011/7/20,4864.28,4849.06,4881.46,4801.61,3945111400,49231211067
2011/7/21,4846.34,4784.39,4850.55,4782.4,3879897100,48315272866
2011/7/22,4791.45,4800.94,4822.81,4781.41,3316057700,41208478271
2011/7/25,4784.97,4613.73,4784.97,4597.74,4350413100,53033113353
2011/7/26,4604.99,4633.37,4634.31,4576.93,2841260600,35524791348
2011/7/27,4621.5,4710.38,4716.3,4596.43,3221238600,41177212690
2011/7/28,4670.92,4680.9,4685.45,4633.67,3191405100,39438276994
2011/7/29,4678.78,4628.32,4694.06,4611.9,2939857100,35749766484
2011/8/1,4622.7,4644.46,4665.18,4607.56,2498278200,30911948844
2011/8/2,4627.38,4610.78,4627.38,4539.43,3058629000,36411289062
2011/8/3,4565.76,4625.17,4638.64,4551.48,2743907700,33753670193
2011/8/4,4631.42,4649.43,4670.99,4631.28,2591344100,32336769405
2011/8/5,4504.08,4559.02,4589.08,4472.61,3073141000,37051059586
2011/8/8,4494.38,4330.77,4514.62,4242.87,4171750400,47671234330
2011/8/9,4199.13,4317.11,4347.31,4113.01,3800449800,42407588165
2011/8/10,4389.15,4378.7,4433.09,4372.64,3826854400,44611387758
2011/8/11,4283.24,4454.39,4454.48,4270.62,3754621800,44112403892
2011/8/12,4483.85,4505.89,4526.5,4480.12,4038279500,45582695515
2011/8/15,4514.65,4571.72,4571.72,4509.63,3616918500,41582672257
2011/8/16,4578.35,4533.32,4587.14,4520.94,3480351600,39678119126
2011/8/17,4520.69,4513.48,4543.88,4499.16,2810194100,31574731725
2011/8/18,4510.14,4436.1,4516.04,4434.99,2952560800,34011872404
2011/8/19,4341.19,4395.02,4395.6,4325.04,2742939200,31323761291
2011/8/22,4395.03,4363.96,4435.3,4348.67,2447683300,28476381664
2011/8/23,4376.26,4434.92,4435.21,4365.84,2559515300,28778799103
2011/8/24,4453.43,4427.98,4474.1,4420.29,2778394700,32055865665
2011/8/25,4432.4,4520.17,4520.17,4421.6,3411412100,37996160741
2011/8/26,4506.09,4530.42,4541.47,4496.18,3070925300,35536323303
2011/8/29,4509.89,4490.16,4512.65,4481.29,3022034300,36063815978
2011/8/30,4511.25,4451.73,4541.56,4450.73,3137815200,35566195108
2011/8/31,4449.68,4430.54,4468.14,4386.63,2442128400,28252287437
2011/9/1,4435.33,4395.07,4457.05,4379.1,2280109400,25315425418
2011/9/2,4387.3,4344.98,4399.85,4317.64,2096877100,23594982288
2011/9/5,4305.44,4238.07,4305.44,4237.44,2101343100,23581468731
2011/9/6,4205.09,4204.91,4238.29,4185.8,1728596000,19472179812
2011/9/7,4221.99,4306.36,4306.46,4219.85,2348642800,26743455347
2011/9/8,4320.53,4260.15,4328.2,4260.14,2232336600,26309396425
2011/9/9,4256.48,4233.75,4295.1,4216.42,1818235900,21252333873
2011/9/13,4176.3,4164.29,4176.88,4136.97,1806230700,20773031232
2011/9/14,4176.04,4212.13,4212.29,4111.12,1900626900,21495194717
2011/9/15,4215.37,4215.5,4249.54,4206.88,2038122400,22285381458
2011/9/16,4229,4214.82,4249.18,4212.29,1765427800,19378096254
